[rosmaster.main][INFO] 2017-10-03 18:47:42,611: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-03 18:47:42,611: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-03 18:47:42,612: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-03 18:47:42,612: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-03 18:47:42,612: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-03 18:47:42,612: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-03 18:47:42,657: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:47:42,659: +PARAM [/roslaunch/uris/host_ubuntu__41274] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:47:42,732: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:47:42,732: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:47:42,732: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:47:42,743: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42057/
[rosmaster.master][INFO] 2017-10-03 18:47:42,744: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42057/
[rosmaster.master][INFO] 2017-10-03 18:47:42,745: +PUB [/rosout_agg] /rosout http://ubuntu:42057/
[rosmaster.master][INFO] 2017-10-03 18:47:42,750: +SUB [/rosout] /rosout http://ubuntu:42057/
[rosmaster.master][INFO] 2017-10-03 18:47:42,864: +PUB [/rosout] /mask_orange http://ubuntu:37737/
[rosmaster.master][INFO] 2017-10-03 18:47:42,865: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:37737/
[rosmaster.master][INFO] 2017-10-03 18:47:42,866: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:37737/
[rosmaster.master][INFO] 2017-10-03 18:47:42,914: publisherUpdate[/rosout] -> http://ubuntu:42057/ ['http://ubuntu:37737/']
[rosmaster.master][INFO] 2017-10-03 18:47:42,916: publisherUpdate[/rosout] -> http://ubuntu:42057/ ['http://ubuntu:37737/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:47:42,918: +PUB [/rosout] /view http://ubuntu:34376/
[rosmaster.master][INFO] 2017-10-03 18:47:42,919: +SERVICE [/view/get_loggers] /view http://ubuntu:34376/
[rosmaster.master][INFO] 2017-10-03 18:47:42,920: +SERVICE [/view/set_logger_level] /view http://ubuntu:34376/
[rosmaster.master][INFO] 2017-10-03 18:47:42,930: +PUB [/rosout] /camera http://ubuntu:35679/
[rosmaster.master][INFO] 2017-10-03 18:47:42,935: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35679/
