[rosmaster.main][INFO] 2017-09-20 18:41:40,020: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 18:41:40,020: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 18:41:40,021: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 18:41:40,021: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 18:41:40,021: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 18:41:40,022: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 18:41:40,088: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:41:40,091: +PARAM [/roslaunch/uris/host_ubuntu__46136] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:41:40,168: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:41:40,168: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:41:40,168: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:41:40,215: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33334/
[rosmaster.master][INFO] 2017-09-20 18:41:40,216: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33334/
[rosmaster.master][INFO] 2017-09-20 18:41:40,219: +PUB [/rosout_agg] /rosout http://ubuntu:33334/
[rosmaster.master][INFO] 2017-09-20 18:41:40,242: +SUB [/rosout] /rosout http://ubuntu:33334/
[rosmaster.master][INFO] 2017-09-20 18:41:40,334: +PUB [/rosout] /image_converter http://ubuntu:41637/
[rosmaster.master][INFO] 2017-09-20 18:41:40,335: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:41637/
[rosmaster.master][INFO] 2017-09-20 18:41:40,339: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:41637/
[rosmaster.master][INFO] 2017-09-20 18:41:40,423: +PUB [/rosout] /camera http://ubuntu:40164/
[rosmaster.master][INFO] 2017-09-20 18:41:40,423: +PUB [/rosout] /view http://ubuntu:40008/
[rosmaster.master][INFO] 2017-09-20 18:41:40,424: +SERVICE [/view/get_loggers] /view http://ubuntu:40008/
[rosmaster.master][INFO] 2017-09-20 18:41:40,425: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40164/
[rosmaster.master][INFO] 2017-09-20 18:41:40,428: publisherUpdate[/rosout] -> http://ubuntu:33334/ ['http://ubuntu:41637/']
[rosmaster.master][INFO] 2017-09-20 18:41:40,429: publisherUpdate[/rosout] -> http://ubuntu:33334/ ['http://ubuntu:41637/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:41:40,429: publisherUpdate[/rosout] -> http://ubuntu:33334/ ['http://ubuntu:41637/', 'http://ubuntu:40164/']
[rosmaster.master][INFO] 2017-09-20 18:41:40,430: publisherUpdate[/rosout] -> http://ubuntu:33334/ ['http://ubuntu:41637/', 'http://ubuntu:40164/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:41:40,430: publisherUpdate[/rosout] -> http://ubuntu:33334/ ['http://ubuntu:41637/', 'http://ubuntu:40164/', 'http://ubuntu:40008/']
[rosmaster.master][INFO] 2017-09-20 18:41:40,432: publisherUpdate[/rosout] -> http://ubuntu:33334/ ['http://ubuntu:41637/', 'http://ubuntu:40164/', 'http://ubuntu:40008/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:41:40,433: +SERVICE [/view/set_logger_level] /view http://ubuntu:40008/
[rosmaster.master][INFO] 2017-09-20 18:41:40,434: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40164/
[rosmaster.master][INFO] 2017-09-20 18:41:40,452: +SUB [/tf] /view http://ubuntu:40008/
[rosmaster.master][INFO] 2017-09-20 18:41:40,462: +SUB [/tf_static] /view http://ubuntu:40008/
[rosmaster.master][INFO] 2017-09-20 18:41:40,488: +SUB [/camera/image_raw] /image_converter http://ubuntu:41637/
