[rosmaster.main][INFO] 2017-09-21 18:04:42,378: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 18:04:42,378: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 18:04:42,379: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 18:04:42,379: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 18:04:42,379: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 18:04:42,379: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 18:04:42,441: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:04:42,444: +PARAM [/roslaunch/uris/host_ubuntu__46807] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:04:42,521: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:04:42,521: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:04:42,521: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:04:42,537: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42744/
[rosmaster.master][INFO] 2017-09-21 18:04:42,538: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42744/
[rosmaster.master][INFO] 2017-09-21 18:04:42,540: +PUB [/rosout_agg] /rosout http://ubuntu:42744/
[rosmaster.master][INFO] 2017-09-21 18:04:42,552: +SUB [/rosout] /rosout http://ubuntu:42744/
[rosmaster.master][INFO] 2017-09-21 18:04:42,658: +PUB [/rosout] /image_converter http://ubuntu:38250/
[rosmaster.master][INFO] 2017-09-21 18:04:42,660: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:38250/
[rosmaster.master][INFO] 2017-09-21 18:04:42,661: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:38250/
[rosmaster.master][INFO] 2017-09-21 18:04:42,667: +PUB [/rosout] /camera http://ubuntu:34492/
[rosmaster.master][INFO] 2017-09-21 18:04:42,668: +SERVICE [/camera/get_loggers] /camera http://ubuntu:34492/
[rosmaster.master][INFO] 2017-09-21 18:04:42,670: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:34492/
[rosmaster.master][INFO] 2017-09-21 18:04:42,681: publisherUpdate[/rosout] -> http://ubuntu:42744/ ['http://ubuntu:38250/']
[rosmaster.master][INFO] 2017-09-21 18:04:42,688: publisherUpdate[/rosout] -> http://ubuntu:42744/ ['http://ubuntu:38250/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 18:04:42,688: publisherUpdate[/rosout] -> http://ubuntu:42744/ ['http://ubuntu:38250/', 'http://ubuntu:34492/']
[rosmaster.master][INFO] 2017-09-21 18:04:42,690: publisherUpdate[/rosout] -> http://ubuntu:42744/ ['http://ubuntu:38250/', 'http://ubuntu:34492/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 18:04:42,698: +PUB [/rosout] /view http://ubuntu:35011/
[rosmaster.master][INFO] 2017-09-21 18:04:42,699: +SERVICE [/view/get_loggers] /view http://ubuntu:35011/
[rosmaster.master][INFO] 2017-09-21 18:04:42,700: +SERVICE [/view/set_logger_level] /view http://ubuntu:35011/
[rosmaster.master][INFO] 2017-09-21 18:04:42,714: +SUB [/tf] /view http://ubuntu:35011/
[rosmaster.master][INFO] 2017-09-21 18:04:42,722: +SUB [/tf_static] /view http://ubuntu:35011/
[rosmaster.master][INFO] 2017-09-21 18:04:42,758: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:34492/
[rosmaster.master][INFO] 2017-09-21 18:04:42,781: +PUB [/image/screenpoint] /view http://ubuntu:35011/
[rosmaster.master][INFO] 2017-09-21 18:04:42,786: +PUB [/image/screenpoint_array] /view http://ubuntu:35011/
[rosmaster.master][INFO] 2017-09-21 18:04:42,787: +PUB [/image/screenrectangle] /view http://ubuntu:35011/
[rosmaster.master][INFO] 2017-09-21 18:04:42,788: +PUB [/image/screenrectangle_image] /view http://ubuntu:35011/
[rosmaster.master][INFO] 2017-09-21 18:04:42,789: publisherUpdate[/rosout] -> http://ubuntu:42744/ ['http://ubuntu:38250/', 'http://ubuntu:34492/', 'http://ubuntu:35011/']
[rosmaster.master][INFO] 2017-09-21 18:04:42,789: publisherUpdate[/rosout] -> http://ubuntu:42744/ ['http://ubuntu:38250/', 'http://ubuntu:34492/', 'http://ubuntu:35011/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 18:04:42,790: +PUB [/image/movepoint] /view http://ubuntu:35011/
