[rosmaster.main][INFO] 2017-10-04 13:02:58,271: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 13:02:58,271: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 13:02:58,272: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 13:02:58,272: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 13:02:58,272: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 13:02:58,273: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 13:02:58,318: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:02:58,320: +PARAM [/roslaunch/uris/host_ubuntu__38359] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:02:58,398: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:02:58,398: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:02:58,398: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:02:58,416: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35563/
[rosmaster.master][INFO] 2017-10-04 13:02:58,418: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35563/
[rosmaster.master][INFO] 2017-10-04 13:02:58,420: +PUB [/rosout_agg] /rosout http://ubuntu:35563/
[rosmaster.master][INFO] 2017-10-04 13:02:58,444: +SUB [/rosout] /rosout http://ubuntu:35563/
[rosmaster.master][INFO] 2017-10-04 13:02:58,524: +PUB [/rosout] /mask_orange http://ubuntu:44524/
[rosmaster.master][INFO] 2017-10-04 13:02:58,526: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:44524/
[rosmaster.master][INFO] 2017-10-04 13:02:58,528: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:44524/
[rosmaster.master][INFO] 2017-10-04 13:02:58,571: +PUB [/rosout] /camera http://ubuntu:40717/
[rosmaster.master][INFO] 2017-10-04 13:02:58,572: +PUB [/rosout] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,573: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40717/
[rosmaster.master][INFO] 2017-10-04 13:02:58,574: publisherUpdate[/rosout] -> http://ubuntu:35563/ ['http://ubuntu:44524/']
[rosmaster.master][INFO] 2017-10-04 13:02:58,576: publisherUpdate[/rosout] -> http://ubuntu:35563/ ['http://ubuntu:44524/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:02:58,576: publisherUpdate[/rosout] -> http://ubuntu:35563/ ['http://ubuntu:44524/', 'http://ubuntu:40717/']
[rosmaster.master][INFO] 2017-10-04 13:02:58,580: publisherUpdate[/rosout] -> http://ubuntu:35563/ ['http://ubuntu:44524/', 'http://ubuntu:40717/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:02:58,580: publisherUpdate[/rosout] -> http://ubuntu:35563/ ['http://ubuntu:44524/', 'http://ubuntu:40717/', 'http://ubuntu:44674/']
[rosmaster.master][INFO] 2017-10-04 13:02:58,581: publisherUpdate[/rosout] -> http://ubuntu:35563/ ['http://ubuntu:44524/', 'http://ubuntu:40717/', 'http://ubuntu:44674/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:02:58,581: +SERVICE [/view/get_loggers] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,582: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40717/
[rosmaster.master][INFO] 2017-10-04 13:02:58,582: +SERVICE [/view/set_logger_level] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,599: +SUB [/tf] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,614: +SUB [/tf_static] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,660: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:40717/
[rosmaster.master][INFO] 2017-10-04 13:02:58,671: +PUB [/image/screenpoint] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,671: +PUB [/image/screenpoint_array] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,672: +PUB [/image/screenrectangle] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,673: +PUB [/image/screenrectangle_image] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,674: +PUB [/image/movepoint] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,674: +PUB [/image/foreground] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,675: +PUB [/image/background] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,675: +PUB [/image/foreground_rect] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,678: +PUB [/image/background_rect] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,678: +PUB [/image/line] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,681: +PUB [/image/poly] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,709: +SUB [/camera/image_raw] /mask_orange http://ubuntu:44524/
[rosmaster.master][INFO] 2017-10-04 13:02:58,755: +PUB [/image_marked/compressedDepth] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,756: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,757: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:44674/
[rosmaster.master][INFO] 2017-10-04 13:02:58,758: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:44674/
