[rosmaster.main][INFO] 2017-09-13 16:34:02,869: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-13 16:34:02,869: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-13 16:34:02,870: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-13 16:34:02,870: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:34:02,870: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-13 16:34:02,871: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-13 16:34:02,976: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:34:03,001: +PARAM [/roslaunch/uris/host_ubuntu__39129] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:34:03,056: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:34:03,056: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:34:03,140: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35703/
[rosmaster.master][INFO] 2017-09-13 16:34:03,141: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35703/
[rosmaster.master][INFO] 2017-09-13 16:34:03,142: +PUB [/rosout_agg] /rosout http://ubuntu:35703/
[rosmaster.master][INFO] 2017-09-13 16:34:03,146: +SUB [/rosout] /rosout http://ubuntu:35703/
[rosmaster.master][INFO] 2017-09-13 16:34:21,789: +PUB [/rosout] /cv_camera http://ubuntu:38469/
[rosmaster.master][INFO] 2017-09-13 16:34:21,790: +SERVICE [/cv_camera/get_loggers] /cv_camera http://ubuntu:38469/
[rosmaster.master][INFO] 2017-09-13 16:34:21,791: +SERVICE [/cv_camera/set_logger_level] /cv_camera http://ubuntu:38469/
[rosmaster.master][INFO] 2017-09-13 16:34:21,818: +SERVICE [/cv_camera/set_camera_info] /cv_camera http://ubuntu:38469/
[rosmaster.master][INFO] 2017-09-13 16:34:21,821: -SERVICE [/cv_camera/set_camera_info] /cv_camera rosrpc://ubuntu:51974
[rosmaster.master][INFO] 2017-09-13 16:34:21,861: publisherUpdate[/rosout] -> http://ubuntu:35703/ ['http://ubuntu:38469/']
[rosmaster.master][INFO] 2017-09-13 16:34:21,863: publisherUpdate[/rosout] -> http://ubuntu:35703/ ['http://ubuntu:38469/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:34:21,966: -PUB [/rosout] /cv_camera http://ubuntu:38469/
[rosmaster.master][INFO] 2017-09-13 16:34:21,968: -SERVICE [/cv_camera/get_loggers] /cv_camera rosrpc://ubuntu:51974
[rosmaster.master][INFO] 2017-09-13 16:34:21,971: -SERVICE [/cv_camera/set_logger_level] /cv_camera rosrpc://ubuntu:51974
[rosmaster.master][INFO] 2017-09-13 16:34:22,065: publisherUpdate[/rosout] -> http://ubuntu:35703/ []
[rosmaster.master][INFO] 2017-09-13 16:34:22,066: publisherUpdate[/rosout] -> http://ubuntu:35703/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:36:06,637: +PUB [/rosout] /cv_camera http://ubuntu:41840/
[rosmaster.master][INFO] 2017-09-13 16:36:06,638: +SERVICE [/cv_camera/get_loggers] /cv_camera http://ubuntu:41840/
[rosmaster.master][INFO] 2017-09-13 16:36:06,639: +SERVICE [/cv_camera/set_logger_level] /cv_camera http://ubuntu:41840/
[rosmaster.master][INFO] 2017-09-13 16:36:06,715: publisherUpdate[/rosout] -> http://ubuntu:35703/ ['http://ubuntu:41840/']
[rosmaster.master][INFO] 2017-09-13 16:36:06,717: publisherUpdate[/rosout] -> http://ubuntu:35703/ ['http://ubuntu:41840/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:36:06,745: +SERVICE [/cv_camera/set_camera_info] /cv_camera http://ubuntu:41840/
[rosmaster.master][INFO] 2017-09-13 16:36:08,162: +PUB [/cv_camera/image_raw/compressedDepth] /cv_camera http://ubuntu:41840/
[rosmaster.master][INFO] 2017-09-13 16:36:08,163: +SERVICE [/cv_camera/image_raw/compressedDepth/set_parameters] /cv_camera http://ubuntu:41840/
[rosmaster.master][INFO] 2017-09-13 16:36:08,164: +PUB [/cv_camera/image_raw/compressedDepth/parameter_descriptions] /cv_camera http://ubuntu:41840/
[rosmaster.master][INFO] 2017-09-13 16:36:08,165: +PUB [/cv_camera/image_raw/compressedDepth/parameter_updates] /cv_camera http://ubuntu:41840/
[rosmaster.master][INFO] 2017-09-13 16:36:08,168: +PARAM [/cv_camera/image_raw/compressedDepth/depth_max] by /cv_camera
[rosmaster.master][INFO] 2017-09-13 16:36:08,168: +PARAM [/cv_camera/image_raw/compressedDepth/depth_quantization] by /cv_camera
