[rosmaster.main][INFO] 2017-09-22 18:46:37,962: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 18:46:37,962: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 18:46:37,963: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-22 18:46:37,963: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 18:46:37,963: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 18:46:37,964: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-22 18:46:38,019: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:46:38,022: +PARAM [/roslaunch/uris/host_ubuntu__35124] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:46:38,104: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:46:38,104: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:46:38,104: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:46:38,134: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45556/
[rosmaster.master][INFO] 2017-09-22 18:46:38,138: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45556/
[rosmaster.master][INFO] 2017-09-22 18:46:38,139: +PUB [/rosout_agg] /rosout http://ubuntu:45556/
[rosmaster.master][INFO] 2017-09-22 18:46:38,166: +SUB [/rosout] /rosout http://ubuntu:45556/
[rosmaster.master][INFO] 2017-09-22 18:46:38,262: +PUB [/rosout] /image_converter http://ubuntu:43473/
[rosmaster.master][INFO] 2017-09-22 18:46:38,264: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:43473/
[rosmaster.master][INFO] 2017-09-22 18:46:38,264: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:43473/
[rosmaster.master][INFO] 2017-09-22 18:46:38,266: publisherUpdate[/rosout] -> http://ubuntu:45556/ ['http://ubuntu:43473/']
[rosmaster.master][INFO] 2017-09-22 18:46:38,267: publisherUpdate[/rosout] -> http://ubuntu:45556/ ['http://ubuntu:43473/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 18:46:38,332: +PUB [/rosout] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,332: +SERVICE [/view/get_loggers] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,333: +SERVICE [/view/set_logger_level] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,341: +SUB [/tf] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,353: +SUB [/tf_static] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,359: +PUB [/rosout] /camera http://ubuntu:44994/
[rosmaster.master][INFO] 2017-09-22 18:46:38,367: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44994/
[rosmaster.master][INFO] 2017-09-22 18:46:38,367: publisherUpdate[/rosout] -> http://ubuntu:45556/ ['http://ubuntu:43473/', 'http://ubuntu:43255/']
[rosmaster.master][INFO] 2017-09-22 18:46:38,368: publisherUpdate[/rosout] -> http://ubuntu:45556/ ['http://ubuntu:43473/', 'http://ubuntu:43255/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 18:46:38,368: publisherUpdate[/rosout] -> http://ubuntu:45556/ ['http://ubuntu:43473/', 'http://ubuntu:43255/', 'http://ubuntu:44994/']
[rosmaster.master][INFO] 2017-09-22 18:46:38,369: publisherUpdate[/rosout] -> http://ubuntu:45556/ ['http://ubuntu:43473/', 'http://ubuntu:43255/', 'http://ubuntu:44994/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 18:46:38,369: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44994/
[rosmaster.master][INFO] 2017-09-22 18:46:38,424: +PUB [/image/screenpoint] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,425: +PUB [/image/screenpoint_array] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,426: +PUB [/image/screenrectangle] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,427: +PUB [/image/screenrectangle_image] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,427: +PUB [/image/movepoint] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,428: +PUB [/image/foreground] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,429: +PUB [/image/background] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,430: +PUB [/image/foreground_rect] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,431: +PUB [/image/background_rect] /view http://ubuntu:43255/
[rosmaster.master][INFO] 2017-09-22 18:46:38,432: +PUB [/image/line] /view http://ubuntu:43255/
