[rosmaster.main][INFO] 2017-09-22 16:16:20,546: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 16:16:20,546: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 16:16:20,546: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-22 16:16:20,547: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 16:16:20,547: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 16:16:20,547: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 16:16:20,600: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:16:20,603: +PARAM [/roslaunch/uris/host_ubuntu__33321] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:16:20,686: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:16:20,686: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:16:20,686: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:16:20,716: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:44449/
[rosmaster.master][INFO] 2017-09-22 16:16:20,718: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:44449/
[rosmaster.master][INFO] 2017-09-22 16:16:20,723: +PUB [/rosout_agg] /rosout http://ubuntu:44449/
[rosmaster.master][INFO] 2017-09-22 16:16:20,737: +SUB [/rosout] /rosout http://ubuntu:44449/
[rosmaster.master][INFO] 2017-09-22 16:16:20,814: +PUB [/rosout] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:20,818: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:20,821: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:20,848: publisherUpdate[/rosout] -> http://ubuntu:44449/ ['http://ubuntu:46766/']
[rosmaster.master][INFO] 2017-09-22 16:16:20,850: publisherUpdate[/rosout] -> http://ubuntu:44449/ ['http://ubuntu:46766/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:16:20,867: +PUB [/rosout] /camera http://ubuntu:46094/
[rosmaster.master][INFO] 2017-09-22 16:16:20,868: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46094/
[rosmaster.master][INFO] 2017-09-22 16:16:20,868: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46094/
[rosmaster.master][INFO] 2017-09-22 16:16:20,870: +PUB [/rosout] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,872: +SERVICE [/view/get_loggers] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,882: +SERVICE [/view/set_logger_level] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,890: +SUB [/tf] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,899: +SUB [/tf_static] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,942: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:46094/
[rosmaster.master][INFO] 2017-09-22 16:16:20,950: publisherUpdate[/rosout] -> http://ubuntu:44449/ ['http://ubuntu:46766/', 'http://ubuntu:46094/']
[rosmaster.master][INFO] 2017-09-22 16:16:20,951: publisherUpdate[/rosout] -> http://ubuntu:44449/ ['http://ubuntu:46766/', 'http://ubuntu:46094/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:16:20,951: publisherUpdate[/rosout] -> http://ubuntu:44449/ ['http://ubuntu:46766/', 'http://ubuntu:46094/', 'http://ubuntu:33731/']
[rosmaster.master][INFO] 2017-09-22 16:16:20,951: publisherUpdate[/rosout] -> http://ubuntu:44449/ ['http://ubuntu:46766/', 'http://ubuntu:46094/', 'http://ubuntu:33731/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:16:20,955: +PUB [/image/screenpoint] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,956: +PUB [/image/screenpoint_array] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,957: +PUB [/image/screenrectangle] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,957: +PUB [/image/screenrectangle_image] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,960: +PUB [/image/movepoint] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,960: +PUB [/image/foreground] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,962: +PUB [/image/background] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,963: +PUB [/image/foreground_rect] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,964: +PUB [/image/background_rect] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,965: +SUB [/camera/image_raw] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:20,969: +PUB [/image/line] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:20,971: +PUB [/image/poly] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:21,024: +PUB [/image/compressedDepth] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:21,024: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:21,025: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:21,026: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:21,032: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,032: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,033: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,034: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,036: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,038: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,043: +PUB [/image_marked/compressedDepth] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:21,044: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:21,046: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:21,047: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:21,054: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,055: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,058: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,059: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,060: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,063: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,101: +PUB [/image/compressed] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:21,101: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:21,102: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:21,103: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:21,108: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,109: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,109: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,112: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,113: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,115: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-22 16:16:21,119: +PUB [/image_marked/compressed] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:21,123: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:21,123: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:21,124: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:21,131: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,132: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,132: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,133: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,134: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,136: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-22 16:16:21,191: +PUB [/image] /image_converter http://ubuntu:46766/
[rosmaster.master][INFO] 2017-09-22 16:16:21,218: +PUB [/image_marked] /view http://ubuntu:33731/
[rosmaster.master][INFO] 2017-09-22 16:16:21,249: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:46094/
[rosmaster.master][INFO] 2017-09-22 16:16:21,250: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:46094/
[rosmaster.master][INFO] 2017-09-22 16:16:21,251: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:46094/
[rosmaster.master][INFO] 2017-09-22 16:16:21,254: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:46094/
