[rosmaster.main][INFO] 2017-09-23 13:09:04,082: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-23 13:09:04,083: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-23 13:09:04,084: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-23 13:09:04,084: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-23 13:09:04,085: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-23 13:09:04,085: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-23 13:09:04,112: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 13:09:04,113: +PARAM [/roslaunch/uris/host_ubuntu__38723] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 13:09:04,188: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 13:09:04,189: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 13:09:04,189: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 13:09:04,207: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41454/
[rosmaster.master][INFO] 2017-09-23 13:09:04,207: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41454/
[rosmaster.master][INFO] 2017-09-23 13:09:04,209: +PUB [/rosout_agg] /rosout http://ubuntu:41454/
[rosmaster.master][INFO] 2017-09-23 13:09:04,213: +SUB [/rosout] /rosout http://ubuntu:41454/
[rosmaster.master][INFO] 2017-09-23 13:09:04,332: +PUB [/rosout] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,335: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,343: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,384: publisherUpdate[/rosout] -> http://ubuntu:41454/ ['http://ubuntu:36144/']
[rosmaster.master][INFO] 2017-09-23 13:09:04,386: publisherUpdate[/rosout] -> http://ubuntu:41454/ ['http://ubuntu:36144/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 13:09:04,398: +PUB [/rosout] /camera http://ubuntu:41624/
[rosmaster.master][INFO] 2017-09-23 13:09:04,399: +SERVICE [/camera/get_loggers] /camera http://ubuntu:41624/
[rosmaster.master][INFO] 2017-09-23 13:09:04,400: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:41624/
[rosmaster.master][INFO] 2017-09-23 13:09:04,427: +PUB [/rosout] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,427: +SERVICE [/view/get_loggers] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,428: +SERVICE [/view/set_logger_level] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,437: +SUB [/tf] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,449: +SUB [/tf_static] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,486: publisherUpdate[/rosout] -> http://ubuntu:41454/ ['http://ubuntu:36144/', 'http://ubuntu:41624/']
[rosmaster.master][INFO] 2017-09-23 13:09:04,487: publisherUpdate[/rosout] -> http://ubuntu:41454/ ['http://ubuntu:36144/', 'http://ubuntu:41624/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 13:09:04,487: publisherUpdate[/rosout] -> http://ubuntu:41454/ ['http://ubuntu:36144/', 'http://ubuntu:41624/', 'http://ubuntu:42852/']
[rosmaster.master][INFO] 2017-09-23 13:09:04,488: publisherUpdate[/rosout] -> http://ubuntu:41454/ ['http://ubuntu:36144/', 'http://ubuntu:41624/', 'http://ubuntu:42852/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 13:09:04,499: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:41624/
[rosmaster.master][INFO] 2017-09-23 13:09:04,519: +PUB [/image/screenpoint] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,519: +PUB [/image/screenpoint_array] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,520: +PUB [/image/screenrectangle] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,521: +PUB [/image/screenrectangle_image] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,522: +PUB [/image/movepoint] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,522: +PUB [/image/foreground] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,523: +PUB [/image/background] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,524: +PUB [/image/foreground_rect] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,524: +PUB [/image/background_rect] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,525: +PUB [/image/line] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,527: +PUB [/image/poly] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,536: +SUB [/camera/image_raw] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,607: +PUB [/image/compressedDepth] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,608: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,609: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,610: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,613: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-23 13:09:04,615: +PUB [/image_marked/compressedDepth] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,615: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-23 13:09:04,616: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,617: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-23 13:09:04,618: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,619: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-23 13:09:04,619: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:42852/
[rosmaster.master][INFO] 2017-09-23 13:09:04,620: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-23 13:09:04,621: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-23 13:09:04,630: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-23 13:09:04,630: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-23 13:09:04,631: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-23 13:09:04,632: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-23 13:09:04,633: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-23 13:09:04,634: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-23 13:09:04,693: +PUB [/image/compressed] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,697: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,697: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:36144/
[rosmaster.master][INFO] 2017-09-23 13:09:04,698: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:36144/
