[rosmaster.main][INFO] 2017-09-30 12:10:47,350: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-30 12:10:47,350: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-30 12:10:47,351: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-30 12:10:47,351: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-30 12:10:47,351: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-30 12:10:47,351: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-30 12:10:47,403: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 12:10:47,405: +PARAM [/roslaunch/uris/host_ubuntu__44456] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 12:10:47,484: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 12:10:47,484: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 12:10:47,484: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 12:10:47,551: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42547/
[rosmaster.master][INFO] 2017-09-30 12:10:47,557: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42547/
[rosmaster.master][INFO] 2017-09-30 12:10:47,560: +PUB [/rosout_agg] /rosout http://ubuntu:42547/
[rosmaster.master][INFO] 2017-09-30 12:10:47,588: +SUB [/rosout] /rosout http://ubuntu:42547/
[rosmaster.master][INFO] 2017-09-30 12:10:47,689: +PUB [/rosout] /mask_orange http://ubuntu:46077/
[rosmaster.master][INFO] 2017-09-30 12:10:47,693: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:46077/
[rosmaster.master][INFO] 2017-09-30 12:10:47,694: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:46077/
[rosmaster.master][INFO] 2017-09-30 12:10:47,753: publisherUpdate[/rosout] -> http://ubuntu:42547/ ['http://ubuntu:46077/']
[rosmaster.master][INFO] 2017-09-30 12:10:47,755: publisherUpdate[/rosout] -> http://ubuntu:42547/ ['http://ubuntu:46077/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-30 12:10:47,813: +PUB [/rosout] /view http://ubuntu:39456/
[rosmaster.master][INFO] 2017-09-30 12:10:47,815: +PUB [/rosout] /camera http://ubuntu:45315/
