[rosmaster.main][INFO] 2017-09-20 18:34:54,836: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 18:34:54,836: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 18:34:54,837: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 18:34:54,837: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 18:34:54,837: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 18:34:54,837: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 18:34:54,892: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:34:54,893: +PARAM [/roslaunch/uris/host_ubuntu__34625] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:34:54,959: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:34:54,959: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:34:54,959: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:34:55,017: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46663/
[rosmaster.master][INFO] 2017-09-20 18:34:55,025: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46663/
[rosmaster.master][INFO] 2017-09-20 18:34:55,029: +PUB [/rosout_agg] /rosout http://ubuntu:46663/
[rosmaster.master][INFO] 2017-09-20 18:34:55,052: +SUB [/rosout] /rosout http://ubuntu:46663/
[rosmaster.master][INFO] 2017-09-20 18:34:55,129: +PUB [/rosout] /image_converter http://ubuntu:43676/
[rosmaster.master][INFO] 2017-09-20 18:34:55,135: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:43676/
[rosmaster.master][INFO] 2017-09-20 18:34:55,138: publisherUpdate[/rosout] -> http://ubuntu:46663/ ['http://ubuntu:43676/']
[rosmaster.master][INFO] 2017-09-20 18:34:55,139: publisherUpdate[/rosout] -> http://ubuntu:46663/ ['http://ubuntu:43676/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:34:55,140: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:43676/
[rosmaster.master][INFO] 2017-09-20 18:34:55,230: +PUB [/rosout] /camera http://ubuntu:46852/
[rosmaster.master][INFO] 2017-09-20 18:34:55,232: +PUB [/rosout] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,232: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46852/
[rosmaster.master][INFO] 2017-09-20 18:34:55,235: +SERVICE [/view/get_loggers] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,236: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46852/
[rosmaster.master][INFO] 2017-09-20 18:34:55,237: +SERVICE [/view/set_logger_level] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,239: publisherUpdate[/rosout] -> http://ubuntu:46663/ ['http://ubuntu:43676/', 'http://ubuntu:46852/']
[rosmaster.master][INFO] 2017-09-20 18:34:55,240: publisherUpdate[/rosout] -> http://ubuntu:46663/ ['http://ubuntu:43676/', 'http://ubuntu:46852/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:34:55,240: publisherUpdate[/rosout] -> http://ubuntu:46663/ ['http://ubuntu:43676/', 'http://ubuntu:46852/', 'http://ubuntu:34802/']
[rosmaster.master][INFO] 2017-09-20 18:34:55,240: publisherUpdate[/rosout] -> http://ubuntu:46663/ ['http://ubuntu:43676/', 'http://ubuntu:46852/', 'http://ubuntu:34802/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:34:55,257: +SUB [/tf] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,267: +SUB [/tf_static] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,282: +SUB [/camera/image_raw] /image_converter http://ubuntu:43676/
[rosmaster.master][INFO] 2017-09-20 18:34:55,317: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:46852/
[rosmaster.master][INFO] 2017-09-20 18:34:55,327: +PUB [/image/screenpoint] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,327: +PUB [/image/screenpoint_array] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,328: +PUB [/image/screenrectangle] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,329: +PUB [/image/screenrectangle_image] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,330: +PUB [/image/movepoint] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,330: +PUB [/image/foreground] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,331: +PUB [/image/background] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,333: +PUB [/image/foreground_rect] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,333: +PUB [/image/background_rect] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,337: +PUB [/image/line] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,338: +PUB [/image/poly] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,362: +PUB [/image/compressedDepth] /image_converter http://ubuntu:43676/
[rosmaster.master][INFO] 2017-09-20 18:34:55,362: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:43676/
[rosmaster.master][INFO] 2017-09-20 18:34:55,363: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:43676/
[rosmaster.master][INFO] 2017-09-20 18:34:55,364: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:43676/
[rosmaster.master][INFO] 2017-09-20 18:34:55,367: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:34:55,369: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:34:55,373: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:34:55,374: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:34:55,374: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:34:55,375: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:34:55,412: +PUB [/image_marked/compressedDepth] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,412: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,413: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:34802/
[rosmaster.master][INFO] 2017-09-20 18:34:55,414: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:34802/
