[rosmaster.main][INFO] 2017-09-20 17:51:57,934: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 17:51:57,934: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 17:51:57,934: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 17:51:57,935: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 17:51:57,935: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 17:51:57,935: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 17:51:57,992: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:51:57,993: +PARAM [/roslaunch/uris/host_ubuntu__41621] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:51:58,062: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:51:58,062: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:51:58,062: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:51:58,120: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:44054/
[rosmaster.master][INFO] 2017-09-20 17:51:58,122: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:44054/
[rosmaster.master][INFO] 2017-09-20 17:51:58,129: +PUB [/rosout_agg] /rosout http://ubuntu:44054/
[rosmaster.master][INFO] 2017-09-20 17:51:58,185: +SUB [/rosout] /rosout http://ubuntu:44054/
[rosmaster.master][INFO] 2017-09-20 17:51:58,266: +PUB [/rosout] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,267: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,268: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,336: +PUB [/rosout] /camera http://ubuntu:42366/
[rosmaster.master][INFO] 2017-09-20 17:51:58,338: +SERVICE [/camera/get_loggers] /camera http://ubuntu:42366/
[rosmaster.master][INFO] 2017-09-20 17:51:58,338: publisherUpdate[/rosout] -> http://ubuntu:44054/ ['http://ubuntu:39510/']
[rosmaster.master][INFO] 2017-09-20 17:51:58,342: publisherUpdate[/rosout] -> http://ubuntu:44054/ ['http://ubuntu:39510/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:51:58,342: publisherUpdate[/rosout] -> http://ubuntu:44054/ ['http://ubuntu:39510/', 'http://ubuntu:42366/']
[rosmaster.master][INFO] 2017-09-20 17:51:58,344: publisherUpdate[/rosout] -> http://ubuntu:44054/ ['http://ubuntu:39510/', 'http://ubuntu:42366/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:51:58,345: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:42366/
[rosmaster.master][INFO] 2017-09-20 17:51:58,349: +PUB [/rosout] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,352: +SERVICE [/view/get_loggers] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,353: +SERVICE [/view/set_logger_level] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,369: +SUB [/tf] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,380: +SUB [/tf_static] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,408: +SUB [/camera/image_raw] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,428: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:42366/
[rosmaster.master][INFO] 2017-09-20 17:51:58,439: +PUB [/image/screenpoint] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,440: +PUB [/image/screenpoint_array] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,440: +PUB [/image/screenrectangle] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,441: +PUB [/image/screenrectangle_image] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,441: publisherUpdate[/rosout] -> http://ubuntu:44054/ ['http://ubuntu:39510/', 'http://ubuntu:42366/', 'http://ubuntu:42997/']
[rosmaster.master][INFO] 2017-09-20 17:51:58,442: publisherUpdate[/rosout] -> http://ubuntu:44054/ ['http://ubuntu:39510/', 'http://ubuntu:42366/', 'http://ubuntu:42997/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:51:58,443: +PUB [/image/movepoint] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,443: +PUB [/image/foreground] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,445: +PUB [/image/background] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,448: +PUB [/image/foreground_rect] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,449: +PUB [/image/background_rect] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,450: +PUB [/image/line] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,450: +PUB [/image/poly] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,482: +PUB [/image/compressedDepth] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,483: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,483: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,484: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,489: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,490: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,491: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,492: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,494: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,496: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,524: +PUB [/image_marked/compressedDepth] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,524: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,525: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,528: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,530: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,531: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,532: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,536: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,537: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,537: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,561: +PUB [/image/compressed] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,562: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,563: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,564: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,568: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,569: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,572: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,573: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,574: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,576: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,597: +PUB [/image_marked/compressed] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,598: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,599: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,600: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,602: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,605: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,606: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,607: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,608: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,611: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 17:51:58,633: +PUB [/image] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,676: +PUB [/image_marked] /view http://ubuntu:42997/
[rosmaster.master][INFO] 2017-09-20 17:51:58,716: +PUB [/image/theora] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,717: +SERVICE [/image/theora/set_parameters] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,718: +PUB [/image/theora/parameter_descriptions] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,719: +PUB [/image/theora/parameter_updates] /image_converter http://ubuntu:39510/
[rosmaster.master][INFO] 2017-09-20 17:51:58,728: +PARAM [/image/theora/optimize_for] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,728: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:42366/
[rosmaster.master][INFO] 2017-09-20 17:51:58,730: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:42366/
[rosmaster.master][INFO] 2017-09-20 17:51:58,730: +PARAM [/image/theora/target_bitrate] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:51:58,731: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:42366/
