[rosmaster.main][INFO] 2017-09-22 16:09:28,246: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 16:09:28,246: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 16:09:28,246: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-22 16:09:28,247: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 16:09:28,247: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 16:09:28,247: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-22 16:09:28,299: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:09:28,301: +PARAM [/roslaunch/uris/host_ubuntu__42733] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:09:28,390: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:09:28,390: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:09:28,390: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:09:28,402: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33889/
[rosmaster.master][INFO] 2017-09-22 16:09:28,411: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33889/
[rosmaster.master][INFO] 2017-09-22 16:09:28,413: +PUB [/rosout_agg] /rosout http://ubuntu:33889/
[rosmaster.master][INFO] 2017-09-22 16:09:28,434: +SUB [/rosout] /rosout http://ubuntu:33889/
[rosmaster.master][INFO] 2017-09-22 16:09:28,503: +PUB [/rosout] /image_converter http://ubuntu:43876/
[rosmaster.master][INFO] 2017-09-22 16:09:28,504: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:43876/
[rosmaster.master][INFO] 2017-09-22 16:09:28,506: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:43876/
[rosmaster.master][INFO] 2017-09-22 16:09:28,548: publisherUpdate[/rosout] -> http://ubuntu:33889/ ['http://ubuntu:43876/']
[rosmaster.master][INFO] 2017-09-22 16:09:28,550: publisherUpdate[/rosout] -> http://ubuntu:33889/ ['http://ubuntu:43876/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:09:28,563: +PUB [/rosout] /view http://ubuntu:45466/
[rosmaster.master][INFO] 2017-09-22 16:09:28,563: +SERVICE [/view/get_loggers] /view http://ubuntu:45466/
[rosmaster.master][INFO] 2017-09-22 16:09:28,565: +SERVICE [/view/set_logger_level] /view http://ubuntu:45466/
[rosmaster.master][INFO] 2017-09-22 16:09:28,585: +PUB [/rosout] /camera http://ubuntu:43943/
[rosmaster.master][INFO] 2017-09-22 16:09:28,586: +SUB [/tf] /view http://ubuntu:45466/
[rosmaster.master][INFO] 2017-09-22 16:09:28,586: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43943/
[rosmaster.master][INFO] 2017-09-22 16:09:28,588: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43943/
[rosmaster.master][INFO] 2017-09-22 16:09:28,603: +SUB [/tf_static] /view http://ubuntu:45466/
[rosmaster.master][INFO] 2017-09-22 16:09:28,649: publisherUpdate[/rosout] -> http://ubuntu:33889/ ['http://ubuntu:43876/', 'http://ubuntu:45466/']
[rosmaster.master][INFO] 2017-09-22 16:09:28,650: publisherUpdate[/rosout] -> http://ubuntu:33889/ ['http://ubuntu:43876/', 'http://ubuntu:45466/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:09:28,650: publisherUpdate[/rosout] -> http://ubuntu:33889/ ['http://ubuntu:43876/', 'http://ubuntu:45466/', 'http://ubuntu:43943/']
[rosmaster.master][INFO] 2017-09-22 16:09:28,651: publisherUpdate[/rosout] -> http://ubuntu:33889/ ['http://ubuntu:43876/', 'http://ubuntu:45466/', 'http://ubuntu:43943/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:09:28,660: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:43943/
[rosmaster.master][INFO] 2017-09-22 16:09:28,664: +SUB [/camera/image_raw] /image_converter http://ubuntu:43876/
[rosmaster.master][INFO] 2017-09-22 16:09:28,666: +PUB [/image/screenpoint] /view http://ubuntu:45466/
[rosmaster.master][INFO] 2017-09-22 16:09:28,667: +PUB [/image/screenpoint_array] /view http://ubuntu:45466/
[rosmaster.master][INFO] 2017-09-22 16:09:28,669: +PUB [/image/screenrectangle] /view http://ubuntu:45466/
