[rosmaster.main][INFO] 2017-10-05 18:02:54,827: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-05 18:02:54,827: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-05 18:02:54,828: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-05 18:02:54,829: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-05 18:02:54,829: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-05 18:02:54,829: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-05 18:02:54,877: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:02:54,880: +PARAM [/roslaunch/uris/host_ubuntu__37844] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:02:54,962: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:02:54,963: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:02:54,963: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:02:54,999: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:37347/
[rosmaster.master][INFO] 2017-10-05 18:02:55,003: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:37347/
[rosmaster.master][INFO] 2017-10-05 18:02:55,015: +PUB [/rosout_agg] /rosout http://ubuntu:37347/
[rosmaster.master][INFO] 2017-10-05 18:02:55,024: +SUB [/rosout] /rosout http://ubuntu:37347/
[rosmaster.master][INFO] 2017-10-05 18:02:55,113: +PUB [/rosout] /mask_orange http://ubuntu:40920/
[rosmaster.master][INFO] 2017-10-05 18:02:55,114: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:40920/
[rosmaster.master][INFO] 2017-10-05 18:02:55,115: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:40920/
[rosmaster.master][INFO] 2017-10-05 18:02:55,128: publisherUpdate[/rosout] -> http://ubuntu:37347/ ['http://ubuntu:40920/']
[rosmaster.master][INFO] 2017-10-05 18:02:55,130: publisherUpdate[/rosout] -> http://ubuntu:37347/ ['http://ubuntu:40920/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 18:02:55,162: +PUB [/rosout] /camera http://ubuntu:43722/
[rosmaster.master][INFO] 2017-10-05 18:02:55,163: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43722/
[rosmaster.master][INFO] 2017-10-05 18:02:55,163: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43722/
[rosmaster.master][INFO] 2017-10-05 18:02:55,172: +PUB [/rosout] /view http://ubuntu:34483/
