[rosmaster.main][INFO] 2017-10-04 18:04:06,864: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 18:04:06,864: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 18:04:06,865: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 18:04:06,866: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 18:04:06,866: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 18:04:06,866: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 18:04:06,913: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:04:06,915: +PARAM [/roslaunch/uris/host_ubuntu__36454] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:04:06,979: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:04:06,979: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:04:06,979: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:04:06,999: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43963/
[rosmaster.master][INFO] 2017-10-04 18:04:07,000: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43963/
[rosmaster.master][INFO] 2017-10-04 18:04:07,006: +PUB [/rosout_agg] /rosout http://ubuntu:43963/
[rosmaster.master][INFO] 2017-10-04 18:04:07,025: +SUB [/rosout] /rosout http://ubuntu:43963/
[rosmaster.master][INFO] 2017-10-04 18:04:07,089: +PUB [/rosout] /mask_orange http://ubuntu:44483/
[rosmaster.master][INFO] 2017-10-04 18:04:07,090: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:44483/
[rosmaster.master][INFO] 2017-10-04 18:04:07,092: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:44483/
[rosmaster.master][INFO] 2017-10-04 18:04:07,150: +PUB [/rosout] /camera http://ubuntu:34686/
[rosmaster.master][INFO] 2017-10-04 18:04:07,151: +SERVICE [/camera/get_loggers] /camera http://ubuntu:34686/
[rosmaster.master][INFO] 2017-10-04 18:04:07,152: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:34686/
[rosmaster.master][INFO] 2017-10-04 18:04:07,167: publisherUpdate[/rosout] -> http://ubuntu:43963/ ['http://ubuntu:44483/']
[rosmaster.master][INFO] 2017-10-04 18:04:07,168: publisherUpdate[/rosout] -> http://ubuntu:43963/ ['http://ubuntu:44483/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 18:04:07,169: publisherUpdate[/rosout] -> http://ubuntu:43963/ ['http://ubuntu:44483/', 'http://ubuntu:34686/']
[rosmaster.master][INFO] 2017-10-04 18:04:07,169: publisherUpdate[/rosout] -> http://ubuntu:43963/ ['http://ubuntu:44483/', 'http://ubuntu:34686/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 18:04:07,173: +PUB [/rosout] /view http://ubuntu:38113/
[rosmaster.master][INFO] 2017-10-04 18:04:07,174: +SERVICE [/view/get_loggers] /view http://ubuntu:38113/
