[rosmaster.main][INFO] 2017-10-04 12:56:19,193: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 12:56:19,193: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 12:56:19,196: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 12:56:19,196: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 12:56:19,196: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 12:56:19,196: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 12:56:19,250: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:56:19,252: +PARAM [/roslaunch/uris/host_ubuntu__38238] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:56:19,321: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:56:19,321: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:56:19,321: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:56:19,363: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38957/
[rosmaster.master][INFO] 2017-10-04 12:56:19,366: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38957/
[rosmaster.master][INFO] 2017-10-04 12:56:19,370: +PUB [/rosout_agg] /rosout http://ubuntu:38957/
[rosmaster.master][INFO] 2017-10-04 12:56:19,405: +SUB [/rosout] /rosout http://ubuntu:38957/
[rosmaster.master][INFO] 2017-10-04 12:56:19,477: +PUB [/rosout] /mask_orange http://ubuntu:39688/
[rosmaster.master][INFO] 2017-10-04 12:56:19,484: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:39688/
[rosmaster.master][INFO] 2017-10-04 12:56:19,489: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:39688/
