[rosmaster.main][INFO] 2017-10-05 18:10:10,411: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-05 18:10:10,411: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-05 18:10:10,412: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-05 18:10:10,412: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-05 18:10:10,412: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-05 18:10:10,413: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-05 18:10:10,454: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:10:10,455: +PARAM [/roslaunch/uris/host_ubuntu__46842] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:10:10,521: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:10:10,521: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:10:10,521: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:10:10,534: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:39913/
[rosmaster.master][INFO] 2017-10-05 18:10:10,537: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:39913/
[rosmaster.master][INFO] 2017-10-05 18:10:10,557: +PUB [/rosout_agg] /rosout http://ubuntu:39913/
[rosmaster.master][INFO] 2017-10-05 18:10:10,573: +SUB [/rosout] /rosout http://ubuntu:39913/
[rosmaster.master][INFO] 2017-10-05 18:10:10,652: +PUB [/rosout] /mask_orange http://ubuntu:36738/
[rosmaster.master][INFO] 2017-10-05 18:10:10,656: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:36738/
[rosmaster.master][INFO] 2017-10-05 18:10:10,661: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:36738/
[rosmaster.master][INFO] 2017-10-05 18:10:10,701: +PUB [/rosout] /camera http://ubuntu:39141/
[rosmaster.master][INFO] 2017-10-05 18:10:10,702: +PUB [/rosout] /view http://ubuntu:43170/
[rosmaster.master][INFO] 2017-10-05 18:10:10,703: +SERVICE [/camera/get_loggers] /camera http://ubuntu:39141/
[rosmaster.master][INFO] 2017-10-05 18:10:10,704: +SERVICE [/view/get_loggers] /view http://ubuntu:43170/
[rosmaster.master][INFO] 2017-10-05 18:10:10,704: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:39141/
[rosmaster.master][INFO] 2017-10-05 18:10:10,705: +SERVICE [/view/set_logger_level] /view http://ubuntu:43170/
[rosmaster.master][INFO] 2017-10-05 18:10:10,712: publisherUpdate[/rosout] -> http://ubuntu:39913/ ['http://ubuntu:36738/']
[rosmaster.master][INFO] 2017-10-05 18:10:10,714: publisherUpdate[/rosout] -> http://ubuntu:39913/ ['http://ubuntu:36738/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 18:10:10,714: publisherUpdate[/rosout] -> http://ubuntu:39913/ ['http://ubuntu:36738/', 'http://ubuntu:39141/']
