[rosmaster.main][INFO] 2017-09-21 17:15:12,229: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 17:15:12,230: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 17:15:12,230: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-21 17:15:12,231: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 17:15:12,231: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 17:15:12,231: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 17:15:12,282: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:15:12,286: +PARAM [/roslaunch/uris/host_ubuntu__33742] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:15:12,362: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:15:12,362: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:15:12,362: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:15:12,399: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38903/
[rosmaster.master][INFO] 2017-09-21 17:15:12,401: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38903/
[rosmaster.master][INFO] 2017-09-21 17:15:12,408: +PUB [/rosout_agg] /rosout http://ubuntu:38903/
[rosmaster.master][INFO] 2017-09-21 17:15:12,442: +SUB [/rosout] /rosout http://ubuntu:38903/
[rosmaster.master][INFO] 2017-09-21 17:15:12,536: +PUB [/rosout] /image_converter http://ubuntu:33666/
[rosmaster.master][INFO] 2017-09-21 17:15:12,537: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:33666/
[rosmaster.master][INFO] 2017-09-21 17:15:12,539: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:33666/
[rosmaster.master][INFO] 2017-09-21 17:15:12,631: publisherUpdate[/rosout] -> http://ubuntu:38903/ ['http://ubuntu:33666/']
[rosmaster.master][INFO] 2017-09-21 17:15:12,633: publisherUpdate[/rosout] -> http://ubuntu:38903/ ['http://ubuntu:33666/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:15:12,639: +PUB [/rosout] /view http://ubuntu:38437/
[rosmaster.master][INFO] 2017-09-21 17:15:12,641: +SERVICE [/view/get_loggers] /view http://ubuntu:38437/
[rosmaster.master][INFO] 2017-09-21 17:15:12,643: +PUB [/rosout] /camera http://ubuntu:40877/
[rosmaster.master][INFO] 2017-09-21 17:15:12,644: +SERVICE [/view/set_logger_level] /view http://ubuntu:38437/
[rosmaster.master][INFO] 2017-09-21 17:15:12,645: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40877/
